time_online,age,active,positive,negative,weight,auc,weight_fraction
219,220,7888,1752,6136,10750272,0.5380216426151821,0.0020353801250884763
220,221,7877,1756,6121,10748476,0.5385663046556555,0.0020350400832081722
221,222,7870,1754,6116,10727464,0.537624456255458,0.0020310618204080907
222,223,7860,1757,6103,10722971,0.5378911311053626,0.0020302111477086444
223,224,7855,1760,6095,10727200,0.5379480199865762,0.0020310118365236807
224,225,7841,1755,6086,10680930,0.5373190349529489,0.0020222514034492576
225,226,7832,1765,6067,10708255,0.5363940249835291,0.0020274249248185814
226,227,7817,1773,6044,10716012,0.5351237941876139,0.0020288935800889143
227,228,7796,1769,6027,10661763,0.5352776084030381,0.0020186224598413593
228,229,7786,1771,6015,10652565,0.5364665693192203,0.002016880975868622
229,230,7774,1779,5995,10665105,0.5375245719568631,0.002019255210378094
230,231,7769,1788,5981,10694028,0.5379623094310207,0.0020247312857144145
231,232,7760,1793,5967,10698831,0.5399180527293123,0.002025640651611463
232,233,7749,1792,5957,10674944,0.5405255521715149,0.0020211180567368415
233,234,7737,1797,5940,10674180,0.542237623873684,0.0020209734064046856
234,235,7727,1802,5925,10676850,0.5417727138622347,0.0020214789252356495
235,236,7714,1802,5912,10653424,0.5432552951989895,0.00201704361282585
236,237,7703,1806,5897,10649982,0.5437783838507896,0.002016391928999566
237,238,7693,1805,5888,10627840,0.5444741358545104,0.002012199720027578
238,239,7679,1804,5875,10598500,0.5457588337972354,0.0020066446928738374
239,240,7671,1802,5869,10575938,0.5467120741441562,0.002002372964085743
240,241,7662,1804,5858,10567832,0.5490201774592935,0.0020008382316348836
241,242,7649,1802,5847,10536294,0.5480127073143555,0.0019948670507768515
242,243,7639,1796,5843,10494028,0.5481460503059455,0.001986864706615979
243,244,7631,1798,5833,10487734,0.5484357250098068,0.0019856730453717514
244,245,7618,1800,5818,10472400,0.548805526908827,0.001982769814752274
245,246,7610,1805,5805,10478025,0.5490985180890482,0.0019838348122894174
246,247,7598,1803,5795,10448385,0.5493846178141407,0.0019782229852670294
247,248,7585,1804,5781,10428924,0.5494472871793868,0.001974538377787856
248,249,7577,1811,5766,10442226,0.5494792968472432,0.001977056883963693
249,250,7565,1816,5749,10440184,0.5492876370761282,0.001976670266191098
250,251,7554,1821,5733,10439793,0.5492917340410869,0.001976596237028961
251,252,7545,1825,5720,10439000,0.5472932273206245,0.0019764460960428353
252,253,7538,1828,5710,10437880,0.5479598347557166,0.001976234043199884
253,254,7529,1827,5702,10417554,0.5457776364778143,0.0019723856627661103
254,255,7514,1830,5684,10401720,0.5466143099410482,0.001969387765698887
255,256,7500,1824,5676,10353024,0.5464199638675619,0.00196016801102
256,257,7488,1827,5661,10342647,0.547714139330096,0.0019582033035634777
257,258,7481,1832,5649,10348968,0.5480325187980096,0.001959400076795884
258,259,7474,1833,5641,10339953,0.5480200925478095,0.001957693240743022
259,260,7467,1839,5628,10349892,0.5483799251238564,0.0019595750203913187
260,261,7458,1845,5613,10355985,0.5489391883051202,0.0019607286257235525
261,262,7447,1846,5601,10339446,0.54779240589873,0.001957597248965007
262,263,7442,1848,5594,10337712,0.5477238096785827,0.0019572689457242236
263,264,7436,1854,5582,10349028,0.5489060421906289,0.0019594114367696134
264,265,7424,1860,5564,10349040,0.5499412505894267,0.001959413708764359
265,266,7413,1862,5551,10335962,0.5511964924019651,0.0019569376131571125
266,267,7400,1866,5534,10326444,0.5501886225306601,0.0019551355426578178
267,268,7389,1866,5523,10305918,0.5486604880807319,0.0019512492956449455
268,269,7373,1869,5504,10286976,0.5481777152002688,0.0019476629519385327
269,270,7363,1871,5492,10275532,0.5481307439848371,0.0019454962262825202
270,271,7349,1872,5477,10252944,0.5477334119839141,0.001941219574839143
271,272,7341,1877,5464,10255928,0.5474696195215099,0.0019417845441992915
272,273,7331,1876,5455,10233580,0.5476987525382124,0.0019375533326508325
273,274,7324,1879,5445,10231155,0.5477381585949974,0.0019370942003792638
274,275,7312,1882,5430,10219260,0.5471583069615608,0.0019348420855873844
275,276,7299,1881,5418,10191258,0.5480590325551565,0.0019295403858478125
276,277,7289,1884,5405,10183020,0.5470709082374384,0.0019279806614547479
277,278,7278,1888,5390,10176320,0.5475925481903086,0.0019267121310549504
278,279,7272,1891,5381,10175471,0.5468765033087903,0.0019265513874266774
279,280,7260,1898,5362,10177076,0.5461243484867363,0.0019268552667239425
280,281,7254,1902,5352,10179504,0.5448156413121897,0.0019273149669941975
281,282,7245,1903,5342,10165826,0.5454939913392183,0.0019247252716496554
282,283,7231,1907,5324,10152868,0.5444177940656768,0.001922271895989868
283,284,7223,1908,5315,10141020,0.5448185685463591,0.0019200286798440765
284,285,7213,1910,5303,10128730,0.5440587319436888,0.0019177017785584776
285,286,7199,1912,5287,10108744,0.5436049226293593,0.001913917771309171
286,287,7186,1912,5274,10083888,0.5433978441648697,0.0019092117128588174
287,288,7176,1912,5264,10064768,0.5439642523305057,0.0019055916678970071
288,289,7166,1918,5248,10065664,0.5432359951613723,0.001905761310171368
289,290,7150,1916,5234,10028344,0.5430792960432949,0.0018986954065116
290,291,7137,1915,5222,10000130,0.5438140304176046,0.0018933535681981838
291,292,7129,1916,5213,9988108,0.543433350940939,0.0018910774081285768
292,293,7123,1919,5204,9986476,0.5433962891414349,0.0018907684168431335
293,294,7105,1915,5190,9938850,0.5425676008793774,0.0018817512483624232
294,295,7095,1914,5181,9916434,0.5426745138423752,0.0018775071621770704
295,296,7088,1920,5168,9922560,0.5418735689176988,0.0018786670154948555
296,297,7086,1923,5163,9928449,0.5410077646568966,0.0018797819969164089
297,298,7076,1929,5147,9928563,0.5408815958563188,0.001879803580866495
298,299,7065,1928,5137,9904136,0.541594945788305,0.0018751787462283076
299,300,7056,1930,5126,9893180,0.5414321785310688,0.0018731044150252954
300,301,7044,1930,5114,9870020,0.5402263622566115,0.0018687194651656966
301,302,7033,1930,5103,9848790,0.5414249872319341,0.0018646999277943976
302,303,7027,1931,5096,9840376,0.5404063828455336,0.0018631068808117265
303,304,7010,1928,5082,9798096,0.5410236846015797,0.0018551018859903172
304,305,7002,1926,5076,9776376,0.5416870218575881,0.001850989575500227
305,306,6990,1922,5068,9740696,0.5396255052000392,0.0018442341777890662
306,307,6984,1927,5057,9744839,0.5389688839394884,0.0018450185839750904
307,308,6976,1926,5050,9726300,0.5380045855052795,0.0018415085414255608
308,309,6962,1926,5036,9699336,0.5380495118428725,0.0018364033692315099
309,310,6953,1924,5029,9675796,0.5383130235486568,0.001831946472871624
310,311,6945,1925,5020,9663500,0.5380096238422931,0.0018296184355886523
311,312,6935,1926,5009,9647334,0.5385288826944314,0.0018265576800001256
312,313,6925,1923,5002,9618846,0.5374941027229254,0.0018211639644733445
313,314,6914,1919,4995,9585405,0.5367270344862841,0.0018148324831151906
314,315,6908,1925,4983,9592275,0.536210023169686,0.001816133200107222
315,316,6898,1923,4975,9566925,0.5361811658395984,0.0018113336112064952
316,317,6885,1920,4965,9532800,0.5362913309835515,0.0018048726261478247
317,318,6874,1923,4951,9520773,0.5368026314670038,0.0018025955194137403
318,319,6866,1929,4937,9523473,0.5377247355035291,0.0018031067182315691
319,320,6854,1924,4930,9485320,0.5374693737269802,0.001795883100269856
320,321,6845,1921,4924,9459004,0.537416730133532,0.001790900615792084
321,322,6839,1923,4916,9453468,0.5364428165409774,0.0017898524688826393
322,323,6832,1922,4910,9437020,0.5361204066537955,0.001786738321417584
323,324,6818,1927,4891,9424957,0.5363574603045935,0.0017844543986992617
324,325,6811,1927,4884,9411468,0.536405585186073,0.0017819004872719679
325,326,6804,1929,4875,9403875,0.5369452486342066,0.0017804628825964957
326,327,6794,1934,4860,9399240,0.5363911337512395,0.0017795853246258895
327,328,6782,1933,4849,9373117,0.5361785199096523,0.0017746393813969474
328,329,6768,1931,4837,9340247,0.5358915026551225,0.0017684160091221196
329,330,6756,1930,4826,9314180,0.535797139415386,0.001763480668535325
